commit: e635c5e4fa87882d477227d5c1ac832dcad61616
kernel: Linux 7.0.0-31-generic #31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026 x86_64
command: make lint test
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.06s
PASS [library] tests::checkpoint_replay::checkpoints_before_write_exceeding_replay_bound 0.121s
PASS [library] tests::checkpoint_replay::clean_checkpoint_maps_each_lba_to_latest_payload_and_checksum 0.061s
PASS [library] tests::checkpoint_replay::close_persists_clean_checkpoint_body_and_descriptor 0.050s
PASS [library] tests::checkpoint_replay::close_without_mapping_changes_does_not_publish_checkpoint 0.060s
PASS [library] tests::checkpoint_replay::equal_lsn_checkpoints_require_equivalent_mapping 0.060s
PASS [library] tests::checkpoint_replay::falls_back_from_corrupted_newest_checkpoint_body_and_replays_tail 0.080s
PASS [library] tests::checkpoint_replay::falls_back_from_corrupted_newest_descriptor_and_replays_tail 0.081s
PASS [library] tests::checkpoint_replay::flush_advances_durable_lsn 0.060s
PASS [library] tests::checkpoint_replay::log_full_write_does_not_publish_live_checkpoint 0.091s
PASS [library] tests::checkpoint_replay::reconstructs_every_recovery_cursor_from_replayed_state 0.071s
PASS [library] tests::checkpoint_replay::rejects_invalid_checkpoint_after_bytes_before_touching_backing 0.101s
PASS [library] tests::checkpoint_replay::rejects_two_unusable_checkpoint_roots_without_panic_or_mutation 0.081s
PASS [library] tests::format_geometry::format_validates_geometry_boundaries 0.060s
PASS [library] tests::format_geometry::format_writes_valid_empty_checkpoint_roots 0.071s
PASS [library] tests::format_geometry::open_reconstructs_empty_volume_and_requires_matching_roots 0.060s
PASS [library] tests::format_geometry::xxh3_matches_persistent_format_vectors 0.050s
PASS [library] tests::io_uring::destroys_ring_before_returning_permanent_wait_error 0.060s
PASS [library] tests::io_uring::direct_io_uring_write_survives_fsync_and_reopen 0.060s
PASS [library] tests::io_uring::waits_when_submission_succeeds_before_completion_exists 0.061s
PASS [library] tests::process_crash::crash_test_modes_select_smoke_and_exhaustive_work 0.060s
PASS [library] tests::process_crash::recover_after_checkpoint_body_fsync_boundary 0.082s
PASS [library] tests::process_crash::recover_after_descriptor_fsync_boundary 0.081s
PASS [library] tests::process_crash::recover_after_descriptor_write_boundary 0.070s
PASS [library] tests::process_crash::recover_after_each_checkpoint_body_block_boundary 0.101s
PASS [library] tests::process_crash::recover_after_kill_at_log_fsync_boundary 0.060s
PASS [library] tests::process_crash::recover_after_kill_at_mapping_publication_boundary 0.060s
PASS [library] tests::process_crash::recover_after_kill_at_record_write_boundary 0.060s
PASS [library] tests::process_crash::recover_after_uncaught_unwinding_panic_without_close 0.081s
PASS [library] tests::process_crash::recover_multiple_flushed_writes_and_overwrites_after_sigkill 0.081s
PASS [library] tests::process_crash::recover_one_flushed_write_after_sigkill_without_close 0.072s
PASS [library] tests::stale_tail::invalid_gap_stops_replay_and_clears_only_bounded_window 0.091s
PASS [library] tests::stale_tail::recover_after_each_stale_tail_clear_block_boundary 0.182s
PASS [library] tests::stale_tail::recover_after_stale_tail_fsync_boundary 0.101s
PASS [library] tests::stale_tail::recovery_accepts_every_format_one_payload_count 3.446s SLOW(>1s)
PASS [library] tests::stale_tail::rejects_invalid_footer_above_maximum_payloads 0.071s
PASS [library] tests::stale_tail::rejects_invalid_footer_declaring_position_beyond_backing 0.050s
PASS [library] tests::stale_tail::rejects_invalid_footer_with_duplicate_lbas 0.070s
PASS [library] tests::stale_tail::rejects_invalid_footer_with_nonzero_unused_checksum 0.081s
PASS [library] tests::stale_tail::rejects_invalid_footer_with_nonzero_unused_lba 0.070s
PASS [library] tests::stale_tail::rejects_invalid_footer_with_out_of_range_lba 0.070s
PASS [library] tests::stale_tail::rejects_invalid_footer_with_zero_payloads 0.070s
PASS [library] tests::stale_tail::stale_tail_clear_stops_at_backing_eof 0.071s
PASS [library] tests::volume_write::failed_write_is_not_published 0.061s
PASS [library] tests::volume_write::log_full_write_leaves_last_successful_value_readable_after_reopen 0.060s
PASS [library] tests::volume_write::multiple_lbas_read_correctly_before_and_after_reopen 0.060s
PASS [library] tests::volume_write::out_of_range_write_leaves_mapping_and_cursors_unchanged 0.060s
PASS [library] tests::volume_write::overwriting_lba_with_zeroes_returns_zeroes_before_and_after_reopen 0.060s
PASS [library] tests::volume_write::public_operations_complete_v0_4_acceptance 0.060s
PASS [library] tests::volume_write::raw_footer_linkage_and_lsns_are_contiguous 0.050s
PASS [library] tests::volume_write::repeated_overwrite_returns_only_latest_value 0.050s
PASS [library] tests::volume_write::write_block_appends_complete_raw_record_and_publishes_mapping 0.070s
PASS [binary] tests::adapter_targets_exact_lba_and_flushes_with_stale_descriptor_geometry 0.081s
PASS [binary] tests::configures_exact_v07_target_parameters 0.050s
PASS [binary] tests::configures_one_depth_one_4k_queue 0.060s
PASS [binary] tests::configures_unprivileged_control_without_user_recovery 0.050s
PASS [binary] tests::daemon_shutdown_propagates_each_error 0.050s
PASS [binary] tests::decodes_only_exact_supported_requests 0.050s
PASS [binary] tests::exclusive_backing_lock_tracks_the_inode_and_owner_process 0.070s
PASS [binary] tests::failfast_read_hints_preserve_results_and_geometry_checks 0.060s
PASS [binary] tests::fatal_engine_error_is_completed_before_post_failure_work_is_rejected 0.081s
PASS [binary] tests::fetched_requests_complete_once_without_shutdown_or_post_failure_engine_io 0.061s
PASS [binary] tests::format_new_never_overwrites_an_existing_path 0.060s
PASS [binary] tests::format_new_removes_created_file_after_engine_validation_failure 0.070s
PASS [binary] tests::format_new_sizes_formats_and_opens_exact_image 0.080s
PASS [binary] tests::maps_engine_capacity_and_fatal_errors_to_stable_errno 0.071s
PASS [binary] tests::metadata_hint_preserves_read_write_decoding_and_validation 0.071s
PASS [binary] tests::parses_explicit_commands 0.060s
PASS [binary] tests::readiness_line_is_explicitly_flushed_and_flush_errors_are_returned 0.060s
